id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01-3056-6,三浦歯科医院,〒010－1631,秋田市新屋元町２２－３４,018-828-2109,三浦　捷也,三浦　捷也 / 令5. 11. 1,昭44. 11. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

2.0,01-3082-2,石田歯科医院,〒010－0921,秋田市大町１－３－３３,018-862-2346,石田　泰,石田　泰 / 令5. 8. 1,昭50. 8. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

3.0,01-3118-4,杉田歯科医院,〒010－0971,秋田市八橋三和町１９－１９,018-863-6122,杉田　逹夫,杉田　逹夫 / 令5. 4. 7,昭56. 4. 7,歯 / 現存,診療所,,,,,,,,,,,,,,

4.0,01-3124-2,中道歯科医院,〒011－0946,秋田市土崎港中央６－１２－１５,018-846-8181,中道　敦子,中道　敦子 / 令5. 10. 6,昭56. 10. 6,歯 / 現存,診療所,,,,,,,,,,,,,,

5.0,01-3129-1,社会医療法人明和会　中通歯科診療所,〒010－0001,秋田市中通六丁目１番５８号,018-832-2833,社会医療法人明和会　理事長　小林　仁,原田　久美子 / 令6. 11. 1,昭57. 11. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

6.0,01-3130-9,石成歯科医院,〒010－0812,秋田市泉三嶽根２－２７,018-868-2711,石成　宣良,石成　宣良 / 令4. 2. 1,昭58. 2. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

7.0,01-3133-3,白石歯科医院,〒011－0917,秋田市飯島道東２－１２－４３,018-846-4545,白石　千代夫,白石　千代夫 / 令4. 5. 9,昭58. 5. 9,歯　小歯　矯歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

8.0,01-3135-8,真宮歯科医院,〒010－0945,秋田市川尻みよし町１３－３２,018-824-5188,真宮　光彦,真宮　光彦 / 令4. 7. 1,昭58. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

9.0,01-3148-1,追分歯科医院,〒010－0116,秋田市金足小泉字潟向３－２,018-873-5661,奈良　周彦,奈良　周彦 / 令5. 7. 1,昭59. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

10.0,01-3149-9,すのうち歯科医院,〒010－0965,秋田市八橋新川向９－２１,018-863-7778,簾内　俊博,簾内　俊博 / 令5. 8. 17,昭59. 8. 17,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

