id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01-3107-0 / 青歯107,小笠原歯科医院,〒030－0813,青森市松原三丁目１４－２７タケダビル　２０２号,017-734-7841,小笠原　佑吉,小笠原　佑吉 / 新規 / 令4. 6. 1,昭46. 6. 1,歯 / 現存,診療所,,,,,,,,,,,,,

2.0,01-3138-5 / 青歯138,阿保歯科,〒030－0861,青森市長島一丁目３－１７,017-722-3686,阿保　憲興,阿保　憲興 / 新規 / 令4. 10. 1,昭52. 10. 1,歯　歯外　小 / 現存,診療所,,,,,,,,,,,,,

3.0,01-3153-4 / 青歯153,田村歯科医院,〒038－0015,青森市千刈二丁目１－３４,017-782-6351,田村　紀夫,田村　紀夫 / 新規 / 令3. 12. 15,昭54. 12. 15,歯 / 現存,診療所,,,,,,,,,,,,,

4.0,01-3154-2 / 青歯154,幸畑歯科,〒030－0943,青森市幸畑二丁目１３－１７,0177-38-8000,荒関　文雄,荒関　文雄 / 新規 / 令3. 12. 15,昭54. 12. 15,歯 / 現存,診療所,,,,,,,,,,,,,

5.0,01-3161-7 / 青歯161,山口歯科医院,〒030－0802,青森市本町五丁目４－２小関耳鼻咽喉科　２階,017-777-6887,山口　勝弘,山口　勝弘 / 新規 / 令4. 5. 1,昭55. 5. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

6.0,01-3163-3 / 青歯163,小川歯科診療所,〒030－0962,青森市佃二丁目２－３,017-742-5070,小川　武裕,小川　武裕 / 新規 / 令4. 6. 1,昭55. 6. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

7.0,01-3164-1 / 青歯164,山田歯科医院,〒030－0821,青森市勝田二丁目４－９,017-774-6006,山田　芳夫,山田　芳夫 / 新規 / 令4. 7. 1,昭55. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,

