id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
1.0,0110156,一般財団法人桜ヶ丘病院,〒960－0111,福島市丸子字上川原２８－７３,024-553-1569,一般財団法人桜ヶ丘病院　理事長　渡部　康,渡部　康,昭32. 7. 1 / 令5. 9. 1,精神　　    180 / 精　心内　内,病院 / 現存,,,,,,,,,,,,,,
2.0,0111014,一陽会病院,〒960－8136,福島市八島町１５－２７,024-534-6715,社会医療法人　一陽会　理事長　寺山　賢次,寺山　賢次,昭38. 1. 16 / 令5. 1. 16,精神　　    157 / 精　心内　内,病院 / 現存,,,,,,,,,,,,,,
3.0,0112434 / (0132511),福島第一病院,〒960－8251,福島市北沢又字成出１６－２,024-557-5111,社会医療法人福島厚生会　理事長　星野　俊吾,小川　智弘,昭47. 5. 1 / 令5. 9. 1,一般　　    196 / 内　呼内　循　消化器内科　消化器外科　透析　アレ　外科　乳腺外科　腫瘍外科　頭頸部外科　心外　こう　整外　胃外科　腹部外科　胆のう外科　大腸外科　リウ　リハ　放　歯　麻　血液内科　内分泌内科　腎臓内科,病院 / 現存,,,,,,,,,,,,,,
4.0,0112509,医療法人五光会福島寿光会病院,〒960－8102,福島市北町１－４０,024-521-1370,医療法人五光会　理事長　篠崎　仁史,袖長　安積,昭48. 4. 1 / 令5. 9. 1,一般　　     62 / 内　消　循　リハ　心臓血管外科,病院 / 現存,,,,,,,,,,,,,,
5.0,0112863,医療生協　わたり病院,〒960－8141,福島市渡利字中江町３４,024-521-2056,福島医療生活協同組合　理事長　齋藤　紀,北條　徹,昭50. 10. 13 / 新規 / 令5. 10. 13,一般　　    135 / 療養　　     61 / 内　外　小　リハ　心内　精　神内　循　アレ　婦　こう　放　麻　透析　病理　心外　消化器内科（内視鏡）　消化器外科（内視鏡）　緩和ケア内科,病院 / 現存,,,,,,,,,,,,,,
6.0,0113044,医療法人明治病院,〒960－8102,福島市北町２－４０,024-521-0805,医療法人明治病院　理事長　幡　研一,幡　亮人,昭52. 10. 1 / 交代 / 令4. 10. 1,一般　　     36 / 産婦　小,病院 / 現存,,,,,,,,,,,,,,
7.0,0113143,さとう内科医院,〒960－8104,福島市豊田町４－１２,024-523-4511,佐藤　武寿,佐藤　武寿,昭53. 9. 1 / 新規 / 令5. 9. 1,内　胃　循,診療所 / 現存,,,,,,,,,,,,,,
8.0,0113465,菅野産婦人科医院,〒960－8157,福島市蓬莱町２－１－１１,024-548-2525,菅野　寛,菅野　寛,昭56. 7. 1 / 新規 / 令5. 9. 1,内　産婦,診療所 / 現存,,,,,,,,,,,,,,
9.0,0113515,医療法人板倉病院,〒960－1108,福島市成川字下畑２６－１,024-545-3741,医療法人　板倉病院　理事長　海野幸浩,海野　幸浩,昭57. 5. 24 / 移動 / 令6. 5. 24,精神　　     98 / 精　心内　内,病院 / 現存,,,,,,,,,,,,,,
10.0,0113614,佐藤耳鼻咽喉科,〒960－8153,福島市黒岩字田部屋１２－３,024-545-3317,佐藤　雅弘,佐藤　雅弘,昭58. 5. 1 / 令4. 5. 1,耳い　気食,診療所 / 現存,,,,,,,,,,,,,,
11.0,0113648,こじま小児科医院,〒960－8254,福島市南沢又字桜内３３－２３,024-558-2231,小島　滋恒,小島　滋恒,昭58. 9. 1 / 新規 / 令4. 9. 1,小,診療所 / 現存,,,,,,,,,,,,,,
12.0,0113655,本田内科医院,〒960－0231,福島市飯坂町平野字東原４２－１２,024-542-0666,本田　慶一朗,本田　慶一朗,昭58. 10. 1 / 新規 / 令4. 10. 1,内　胃　循　呼外,診療所 / 現存,,,,,,,,,,,,,,
13.0,0113663,かんの消化器科外科医院,〒960－8202,福島市山口字雷２０,024-533-3801,菅野　鑑一郎,菅野　鑑一郎,昭58. 11. 1 / 新規 / 令4. 11. 1,内　消　外,診療所 / 現存,,,,,,,,,,,,,,
14.0,0113754,医療法人　桜樹会　岡部クリニック,〒960－8204,福島市岡部字前田１５９－１,024-534-4856,医療法人　桜樹会　理事長　八子　直樹,八子　亮,昭59. 7. 1 / 新規 / 令5. 9. 1,内　胃　外　整外　こう,診療所 / 現存,,,,,,,,,,,,,,
15.0,0113853,紺野整形外科,〒960－0111,福島市丸子字漆方６－１０,024-553-3000,紺野　宣郎,紺野　宣郎,昭60. 10. 1 / 新規 / 令6. 10. 1,整外　リウ,診療所 / 現存,,,,,,,,,,,,,,
16.0,0113887 / (0131869),医療法人篤仁会富士病院,〒960－0811,福島市大波字熊野山１,024-588-1011,医療法人　篤仁会　理事長　岩﨑　芳子,小泉　伸介,昭61. 4. 1 / 組織変更 / 令4. 4. 1,精神　　    282 / 精　内　歯,病院 / 現存,,,,,,,,,,,,,,
17.0,0113895,医療法人篤仁会本町こころとからだクリニック,〒960－8035,福島市本町５－１９,024-521-2262,医療法人篤仁会　理事長　岩﨑　芳子,加藤　美保,昭61. 4. 1 / 組織変更 / 令4. 4. 1,精　心内　内,診療所 / 現存,,,,,,,,,,,,,,
18.0,0114091 / (0131778),福島西部病院,〒960－8071,福島市東中央３－１５,024-533-2121,医療法人社団敬愛会　理事長　菊池　悟,菅谷　芳幸,昭63. 1. 25 / 新規 / 令6. 1. 25,一般　　     99 / 内　呼　循環器内科　消化器内科　消化器外科　外　小外　こう　整外　小　ひ　婦　リハ　放射線診断科　歯　歯外　血液内科　糖尿病内科　乳腺外科　内分泌代謝内科,病院 / 現存,,,,,,,,,,,,,,
19.0,0114158,医療法人　待井内科糖尿病内科クリニック,〒960－8073,福島市南中央１－７０,024-533-5578,医療法人　待井内科糖尿病内科クリニック　理事長　待井　典剛,待井　典剛,昭63. 4. 1 / 新規 / 令6. 4. 1,内　循　糖尿病内科　神内,診療所 / 現存,,,,,,,,,,,,,,
20.0,0114182,きらり健康生活協同組合　須川診療所,〒960－8055,福島市野田町１－１２－７２,024-531-6311,きらり健康生活協同組合　理事長　木村　公,廣川　健,昭63. 4. 1 / 移動 / 令6. 4. 1,一般　　     19 / 内　神内　胃　循　小　呼　リハ　放,診療所 / 現存,,,,,,,,,,,,,,
21.0,0114216,医療法人杏泉堂本間内科,〒960－8057,福島市笹木野字小針尻２０－５,024-536-0063,医療法人　杏泉堂　本間内科　理事長　本間　一男,勝嶋　史子,昭63. 4. 1 / 組織変更 / 令6. 4. 1,内　消　循　糖尿病内科,診療所 / 現存,,,,,,,,,,,,,,
22.0,0114232,もり皮膚科小児科医院,〒960－1101,福島市大森字丑子内５８－５,024-545-3268,森　憲彦,森　憲彦,昭63. 5. 9 / 新規 / 令6. 5. 9,小　皮,診療所 / 現存,,,,,,,,,,,,,,
23.0,0114257,医療法人社団杏仁会なかむら外科内科クリニック,〒960－8011,福島市宮下町１５－１８,024-535-7518,医療法人社団杏仁会　理事長　中村　泉,中村　泉,昭63. 11. 1 / 組織変更 / 令6. 11. 1,外　内　胃　整外　皮　大腸・肛門外科　甲状腺内科　乳腺外科　内視鏡内科,診療所 / 現存,,,,,,,,,,,,,,
24.0,0114265,福島中央病院,〒960－8165,福島市吉倉字谷地５２,024-546-4911,医療法人白寿会　理事長　三瓶　松太郎,安藤　仁,昭63. 11. 1 / 組織変更 / 令6. 11. 1,一般　　     58 / 内　消　循　放　呼　アレ,病院 / 現存,,,,,,,,,,,,,,
25.0,0114299,医療法人創仁会あらいクリニック,〒960－2156,福島市荒井字弁天前１７－１,024-593-1020,医療法人創仁会　理事長　辻　満,山田　文彦,昭63. 12. 1 / 組織変更 / 令3. 12. 1,内　外　こう,診療所 / 現存,,,,,,,,,,,,,,
26.0,0114331,医療法人イノモト医院耳鼻咽喉科,〒960－0101,福島市瀬上町字四斗蒔２４－７,024-553-3185,医療法人イノモト医院耳鼻咽喉科　理事長　猪本　雄一郎,猪本　雄一郎,昭64. 1. 1 / 組織変更 / 令4. 1. 1,耳い,診療所 / 現存,,,,,,,,,,,,,,
27.0,0114455,泌尿器科・皮膚科・内科　北町丹治医院,〒960－8102,福島市北町３－３９,024-522-5911,医療法人恵仁会　理事長　丹治　修,丹治　進,平元. 9. 1 / 組織変更 / 令4. 9. 1,ひ　皮　内,診療所 / 現存,,,,,,,,,,,,,,
28.0,0114463,医療法人社団真子会すやま小児科,〒960－8012,福島市御山町６－２９,024-534-3018,医療法人社団真子会　理事長　陶山　宏,陶山　宏,平元. 9. 1 / 組織変更 / 令4. 9. 1,小　内,診療所 / 現存,,,,,,,,,,,,,,
29.0,0114471,医療法人慈心会村上病院,〒960－1321,福島市立子山字北浦３,024-597-2124,医療法人慈心会　理事長　村上　敦浩,村上　敦浩,平元. 9. 1 / 組織変更 / 令4. 9. 1,精神　　    118 / 精　内　心内,病院 / 現存,,,,,,,,,,,,,,
30.0,0114521,児玉胃腸科内科医院,〒960－8107,福島市浜田町７－２７,024-533-6622,児玉　健夫,児玉　健夫,平元. 12. 1 / 新規 / 令4. 12. 1,内　胃　循　呼,診療所 / 現存,,,,,,,,,,,,,,
31.0,0114554,医療法人安斎外科胃腸科医院,〒960－8131,福島市北五老内町３－２２,024-535-3353,医療法人安斎外科胃腸科医院　理事長　安齋　圭一,安齋　圭一,平元. 12. 1 / 組織変更 / 令4. 12. 1,外　内　整外　漢方内科,診療所 / 現存,,,,,,,,,,,,,,
32.0,0114596,医療法人丸子眼科医院,〒960－8105,福島市仲間町３－３０,024-522-4731,医療法人丸子眼科医院　理事長　丸子　順子,丸子　順子,平2. 1. 1 / 組織変更 / 令5. 1. 1,眼,診療所 / 現存,,,,,,,,,,,,,,
33.0,0114687,一般財団法人大原記念財団大原医療センター,〒960－0102,福島市鎌田字中江３３,024-554-2001,一般財団法人大原記念財団　理事長　佐藤　勝彦,石橋　敏幸,平2. 8. 8 / 新規 / 令5. 9. 1,一般　　    139 / 精神　　     60 / 内　リハ　整外　精　心内,病院 / 現存,,,,,,,,,,,,,,
34.0,0114711,医療法人八子胃腸科内科クリニック,〒960－8136,福島市八島町２－３,024-533-1215,医療法人八子胃腸科内科クリニック　理事長　八子　章生,八子　章生,平2. 11. 1 / 組織変更 / 令5. 11. 1,内　胃,診療所 / 現存,,,,,,,,,,,,,,
35.0,0114760,黒岩内科医院,〒960－8153,福島市黒岩字榎平６４－１,024-545-7733,中村　一郎,中村　一郎,平3. 3. 3 / 新規 / 令6. 3. 3,内　胃　循,診療所 / 現存,,,,,,,,,,,,,,
36.0,0114778,医療法人　腎済会　佐久間内科,〒960－8032,福島市陣場町４－８,024-521-1800,医療法人　腎済会　佐久間内科　理事長　佐久間　隆,佐久間　隆,平3. 4. 1 / 組織変更 / 令6. 4. 1,内,診療所 / 現存,,,,,,,,,,,,,,
37.0,0114786,医療法人村上耳鼻咽喉科医院,〒960－8018,福島市松木町１－２３,024-534-3387,医療法人村上耳鼻咽喉科医院　理事長　村上　正文,村上　正文,平3. 4. 1 / 組織変更 / 令6. 4. 1,耳い,診療所 / 現存,,,,,,,,,,,,,,
38.0,0114810,医療法人社団　敬愛会　福島南病院,〒960－8163,福島市方木田字辻の内３－５,024-546-1221,医療法人社団敬愛会　理事長　菊池　悟,野地　秀義,平3. 6. 1 / 組織変更 / 令6. 6. 1,一般　　    128 / 循　心外　内　外　ひ　消　血液内科,病院 / 現存,,,,,,,,,,,,,,
39.0,0114844,医療法人創仁会東日本診療所,〒960－1108,福島市成川字台２８－１,024-545-5801,医療法人創仁会　理事長　辻　満,射場　清光,平3. 11. 1 / 交代 / 令6. 11. 1,内,診療所 / 現存,,,,,,,,,,,,,,
40.0,0114851,医療法人三河台内科,〒960－8055,福島市野田町２－４－１９,024-534-7832,医療法人三河台内科　理事長　佐藤　直人,佐藤　直人,平3. 11. 1 / 組織変更 / 令6. 11. 1,内　胃　消　アレ,診療所 / 現存,,,,,,,,,,,,,,
41.0,0114869,医療法人菊池クリニック,〒960－8112,福島市花園町７－３１,024-535-4091,医療法人　菊池クリニック　理事長　菊池　哲也,菊池　哲也,平3. 11. 1 / 組織変更 / 令6. 11. 1,内　胃腸内科　小　外,診療所 / 現存,,,,,,,,,,,,,,
42.0,0114877,松川中央医院,〒960－1241,福島市松川町字土腐８,024-567-3355,医療法人恵徳会　理事長　鈴木　孝安,及川　博介,平3. 11. 1 / 組織変更 / 令6. 11. 1,内　胃　小,診療所 / 現存,,,,,,,,,,,,,,
43.0,0114935,医療法人すずきクリニック,〒960－1241,福島市松川町字桜内７－２,024-567-2661,医療法人すずきクリニック　理事長　鈴木　定雄,鈴木　定雄,平4. 1. 1 / 組織変更 / 令4. 1. 1,内　胃　外　整外　こう　リハ　皮,診療所 / 現存,,,,,,,,,,,,,,
44.0,0115056,木村内科・皮フ科,〒960－8141,福島市渡利七社宮１０－１,024-521-0182,木村　忍,木村　忍,平4. 11. 1 / 新規 / 令4. 11. 1,内　循　皮,診療所 / 現存,,,,,,,,,,,,,,
45.0,0115064,おぐらじクリニック内科小児科消化器科,〒960－8142,福島市小倉寺字中田３１,024-523-4155,大橋　泰之,大橋　泰之,平4. 11. 1 / 新規 / 令4. 11. 1,内　消化器内科　小,診療所 / 現存,,,,,,,,,,,,,,
46.0,0115155,医療法人佐藤医院,〒960－8032,福島市陣場町１－８,024-522-2489,医療法人佐藤医院　理事長　佐藤　幹夫,佐藤　幹夫,平5. 4. 1 / 組織変更 / 令5. 9. 1,内　リウ　アレ　消　リハ,診療所 / 現存,,,,,,,,,,,,,,
47.0,0115197,医療法人福島腎泌尿器クリニック,〒960－8003,福島市森合字屋敷下３６－１,024-557-1815,医療法人福島腎泌尿器クリニック　理事長　熊谷　研,熊谷　研,平5. 10. 1 / 組織変更 / 令5. 10. 1,一般　　      8 / 療養　　      3 / ひ　内,診療所 / 現存,,,,,,,,,,,,,,
48.0,0115205,医療法人本田クリニック　本田クリニック産科婦人科,〒960－1101,福島市大森字赤沢９７－６,024-545-3500,医療法人本田クリニック　理事長　本田　友紀,渡部　晋哉,平5. 10. 1 / 組織変更 / 令5. 10. 1,一般　　     17 / 産　婦　内,診療所 / 現存,,,,,,,,,,,,,,
49.0,0115213,田島整形外科,〒960－8074,福島市西中央１－１２－２,024-533-6651,医療法人回生堂　理事長　田島　史子,田島　健,平5. 11. 1 / 新規 / 令5. 11. 1,整外　リハ　リウ　内,診療所 / 現存,,,,,,,,,,,,,,
50.0,0115239,福島県精神保健福祉センター,〒960－8012,福島市御山町８－３０,024-535-3556,福島県知事　内堀　雅雄,前田　正治,平5. 12. 13 / 移動 / 令5. 12. 13,精,診療所 / 現存,,,,,,,,,,,,,,
51.0,0115247,大原こどもクリニック,〒960－8116,福島市春日町１２－３２,024-536-9598,大原　洋一郎,大原　洋一郎,平6. 2. 1 / 新規 / 令6. 2. 1,小,診療所 / 現存,,,,,,,,,,,,,,
52.0,0115288,医療法人六角クリニック,〒960－8166,福島市仁井田字下鎌１４－１,024-545-6100,医療法人六角クリニック　理事長　六角　玲奈,六角　玄一,平6. 4. 1 / 組織変更 / 平30. 4. 1,外　内　整外　皮　こう　胃　形外　リハ,診療所 / 休止,,,,,,,,,,,,,,
53.0,0115312,公益財団法人　福島県保健衛生協会総合健診センター,〒960－8550,福島市方木田字水戸内１６－５,024-546-0391,公益財団法人　福島県保健衛生協会　代表理事　鈴木　順造,鈴木　順造,平6. 7. 1 / 新規 / 令6. 7. 1,内　婦,診療所 / 現存,,,,,,,,,,,,,,
54.0,0115395,荒井胃腸科内科,〒960－8253,福島市泉字泉川３－１,024-558-2577,医療法人荒井胃腸科内科　理事長　荒井　大輔,荒井　大輔,平7. 3. 1 / 移動 / 令4. 3. 1,内　胃,診療所 / 現存,,,,,,,,,,,,,,
55.0,0115460,末永眼科医院,〒960－0102,福島市鎌田字御仮家７３－４,024-554-6236,末永　雅之,末永　雅之,平7. 7. 1 / 新規 / 令4. 7. 1,眼,診療所 / 現存,,,,,,,,,,,,,,
56.0,0115494,さかい眼科医院,〒960－8253,福島市泉字弐斗蒔３５－６,024-559-3800,医療法人なつつばき会　理事長　酒井　正典,酒井　正典,平7. 10. 1 / 組織変更 / 令4. 10. 1,眼,診療所 / 現存,,,,,,,,,,,,,,
