id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24iid,code.1,name.1,address.1,prefecture.1,tel.1,corporation.1,director.1,established.1,bed_type_and_count.1,facility_type.1,col12.1,col13.1,col14.1,col15.1,col16.1,col17.1,col18.1,col19.1,col20.1,col21.1,col22.1,col23.1,col24

1.0,01-3146-9,豊泉歯科医院,〒064－0917,札幌市中央区南１７条西７丁目森本ビル,011-531-0078,豊泉　直樹,豊泉　直樹 / 新規 / 令4. 7. 1,昭46. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2.0,01-3181-6,口腔医療センター附属歯科診療所,〒064－0807,札幌市中央区南７条西１０丁目１０３４番地,011-511-7774,一般社団法人　札幌歯科医師会,山田　尚 / 新規 / 令6. 5. 1,昭48. 5. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

3.0,01-3205-3,山田歯科医院分室,〒064－0825,札幌市中央区北５条西２９丁目１宮の森グランドハイツ内,011-611-1797,山田　哲之,山田　哲之 / 新規 / 令4. 11. 15,昭49. 11. 15,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

4.0,01-3268-1,さとう歯科,〒064－0916,札幌市中央区南１６条西５丁目３番１号１０１トーカン幌平橋マンション,011-511-4888,佐藤　正世,佐藤　正世 / 新規 / 令6. 3. 15,昭54. 3. 15,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

5.0,01-3292-1,円山北歯科,〒064－0826,札幌市中央区北６条西２７丁目１番１５号,011-642-8881,新谷　喜信,新谷　喜信 / 新規 / 令4. 8. 1,昭55. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

6.0,01-3302-8,プリンス歯科クリニック,〒060－0062,札幌市中央区南２条西１０丁目中央区民センター,011-251-8185,大西　良近,大西　良近 / 新規 / 令5. 4. 1,昭56. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

7.0,01-3315-0,中野矯正歯科クリニック,〒060－0051,札幌市中央区南１条東１丁目大通バスセンタービル８階,011-212-2018,中野　耕輔,中野　耕輔 / 新規 / 令6. 4. 15,昭57. 4. 15,矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

8.0,01-3323-4,ホンマ矯正歯科,〒064－0801,札幌市中央区南１条西２０丁目,011-641-4182,本間　研,本間　研 / 新規 / 令6. 6. 1,昭57. 6. 1,矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

9.0,01-3341-6,エイト歯科医院,〒060－0063,札幌市中央区南３条西４丁目アルシュビル５階,011-251-3919,藤田　利次,藤田　利次 / 新規 / 令4. 5. 1,昭58. 5. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

10.0,01-3347-3,医療法人　二期会歯科クリニック,〒060－0003,札幌市中央区北３条西２丁目１番地ＣｅｎｔｒａｌＣｌｉｆｆ,011-251-2220,医療法人　二期会,佐藤　禎 / 移動 / 令4. 11. 1,昭58. 11. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

