id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01 / (05-1248 / 3214-9 / 6),医療法人　愛全病院,〒005－0813,札幌市南区川沿１３条２丁目１番３８号 / 常　勤:　　　21,011-571-5670 / 令5. 3. 1,医療法人　愛全会 / 内　消化器内科　循環器内科　呼内　脳内　リハ　歯,松原　泉 / 新規 / 現存,昭47. 3. 1 / 一般　　    231,療養　　    264 / 療養病床,病院,,,,,,,,,,,,,,

2.0,01,1274,5,医療法人社団　慈藻会　平松記念病院,〒064－8536,札幌市中央区南２２条西１４丁目１番２０号,011-561-0708 / 組織変更 / 令3. 12. 1,医療法人社団　慈藻会 / 精　心内,傅田　健三 / 現存,昭48. 12. 1,精神　　    228,病院,,,,,,,,,,,,,,

3.0,01,1342,0,札幌中央病院,〒064－0809,札幌市中央区南９条西１０丁目１番５０号,011-513-0111 / 交代 / 令4. 1. 1,社会医療法人　鳩仁会　理事長　村木　里誌 / 内科、内視鏡内科、腎臓内科、糖尿病・内分泌内科　循環器内科　呼内　消化器内科、消化器外科　外　心外　呼外　整外　形外　ひ　リウ　リハ　麻,荒木　英司 / 現存,昭55. 1. 1,一般　　    180,病院,,,,,,,,,,,,,,

4.0,01,1353,7,医療法人　北仁会　旭山病院,〒064－0946,札幌市中央区双子山４丁目３番３３号,011-641-7755 / 新規 / 令5. 2. 1,医療法人　北仁会 / 精　心内　内,市來　和政 / 現存,昭56. 2. 1,精神　　    329,病院,,,,,,,,,,,,,,

5.0,01,1368,5,社会医療法人北海道恵愛会　札幌南一条病院,〒060－0061,札幌市中央区南１条西１３丁目３１７番地１,011-271-3711 / 新規 / 令5. 12. 1,社会医療法人　北海道恵愛会 / 循環器・腎臓内科　呼内　消化器内科　リハ　内　放　人工透析,土田　哲人 / 現存,昭56. 12. 1,一般　　    147,病院,,,,,,,,,,,,,,

6.0,01,1371,9,ＮＴＴ東日本　札幌病院,〒060－0061,札幌市中央区南１条西１５丁目２９０番地,011-623-7000 / 組織変更 / 令6. 3. 15,東日本電信電話　株式会社　代表取締役社長　澁谷　直樹 / 呼内　循環器内科　消化器内科、消化器外科　糖尿病内分泌内科、血液・腫瘍内科、腎臓内科　人工透析内科　リウ　精　小　外　呼外　心外　整外　皮　ひ　産婦　眼　耳い　放　病理　麻,吉岡　成人 / 現存,昭57. 3. 15,一般　　    301,病院,,,,,,,,,,,,,,

7.0,01,1398,2,医療法人社団　正心会　岡本病院,〒060－0007,札幌市中央区北７条西２６丁目３番１号,011-611-2351 / 交代 / 令4. 10. 1,医療法人社団　正心会 / 精神　　    189 / 精　心内　内,岡本　呉賦 / 療養病床 / 現存,昭58. 10. 1,療養　　     28,病院,,,,,,,,,,,,,,

8.0,01 / (01-1412 / 3364-1 / 8),札幌西円山病院,〒064－8557,札幌市中央区円山西町４丁目７番２５号 / 常　勤:　　　33,011-642-4121 / 令6. 1. 1,医療法人　渓仁会　理事長　成田　吉明 / 内科、老年内科　神内　リハ　循環器内科　歯,山田　陽 / 交代 / 現存,昭60. 1. 1 / 療養　　     87,一般　　    516 / 療養病床,病院,,,,,,,,,,,,,,

9.0,01 / (01-1436 / 3399-0 / 4),医療法人社団明日佳　札幌明日佳病院,〒064－0951,札幌市中央区宮の森１条１７丁目１番２５号 / 常　勤:　　　 6,011-641-8813 / 令4. 11. 1,医療法人社団　明日佳,山岸　雅彦 / 組織変更 / 現存,昭61. 11. 1 / 内　リハ　歯,療養　　    243 / 療養病床,病院,,,,,,,,,,,,,,

10.0,01 / (01-1438 / 3407-6 / 5),ＪＲ札幌病院,〒060－0033,札幌市中央区北３条東１丁目１番地 / 常　勤:　　　55,011-208-7150 / 令5. 4. 1,北海道旅客鉄道　株式会社,四十坊　典晴 / 組織変更,昭62. 4. 1 / 外科、血管外科、乳腺外科　呼外　こう門外科　整外　内科、腎臓内科、糖尿病内科　消化器内科　リウ　呼内　循環器内科　精　小　皮　ひ　産婦　眼　耳い　放　麻　病理　歯外,一般　　    312 / 現存,病院,,,,,,,,,,,,,,

11.0,01 / (01-1450 / 3417-1 / 4),医療法人社団　恵和会　宮の森病院,〒064－0958,札幌市中央区宮の森１２３７番地１ / 常　勤:　　　10,011-611-2211 / 令5. 11. 1,医療法人社団　恵和会,山田　惟好 / 組織変更 / 現存,昭62. 11. 1 / 内　歯,療養　　    240 / 療養病床,病院,,,,,,,,,,,,,,

12.0,01,1463,4,社会医療法人　北海道循環器病院,〒064－8622,札幌市中央区南２７条西１３丁目１番３０号,011-563-3911 / 組織変更 / 令6. 5. 1,社会医療法人　北海道循環器病院　理事長　大堀　克己 / 循環器内科　呼内　消化器内科　糖尿病内科、内分泌内科　外　心外　リハ　放　麻,山崎　健二 / 現存,昭63. 5. 1,一般　　     95,病院,,,,,,,,,,,,,,

13.0,01,1479,0,社会医療法人　医仁会　中村記念病院,〒060－8570,札幌市中央区南１条西１４丁目２９１番地１９０,011-231-8555 / 新規 / 令5. 1. 1,社会医療法人　医仁会 / 脳外　神内　内科、糖尿病・代謝内科　循環器内科　消化器外科、消化器内科　外　心外　整外　麻　放　リハ　耳い　眼　病理　小児神経内科,中村　博彦 / 現存,平5. 1. 1,一般　　    499,病院,,,,,,,,,,,,,,

14.0,01,1483,2,医療法人　札幌円山整形外科病院,〒060－0007,札幌市中央区北７条西２７丁目１番３号,011-612-1133 / 組織変更 / 令4. 4. 1,医療法人　札幌円山整形外科 / 整外　リウ　リハ　麻,竹林　庸雄 / 現存,平元. 4. 1,一般　　    110,病院,,,,,,,,,,,,,,

15.0,01,1486,5,医療法人社団　いとう整形外科病院,〒060－0062,札幌市中央区南２条西１０丁目５番地,011-241-5461 / 組織変更 / 令4. 5. 1,医療法人社団　いとう整形外科病院 / 整外　内　麻　リハ,伊藤　宇一 / 現存,平元. 5. 1,一般　　     80,病院,,,,,,,,,,,,,,

16.0,01,1544,1,医療法人社団　心和会　心和病院,〒064－0913,札幌市中央区南１３条西２０丁目１番６号,011-551-4184 / 組織変更 / 令5. 12. 1,医療法人社団心和会　心和病院 / 内科、ペインクリニック内科　循環器内科　リハ,関　純彦 / 療養病床 / 現存,平2. 12. 1,一般　　     40,病院,,,,,,,,,,,,,,

17.0,01,1581,3,医療法人　萬田記念病院,〒060－0062,札幌市中央区南２条西１丁目１番地,011-231-4032 / 組織変更 / 令4. 9. 7,医療法人　萬田記念病院 / 内科　糖尿病内科　腎臓内科（人工透析）　眼　消化器内科（内視鏡）　リハ,萬田　直紀 / 現存,平4. 9. 7,一般　　     89,病院,,,,,,,,,,,,,,

18.0,01,1625,8,ＪＡ北海道厚生連　札幌厚生病院,〒060－0033,札幌市中央区北３条東８丁目５番地,011-261-5331 / 移動 / 令6. 10. 1,北海道厚生農業協同組合連合会　代表理事会長　西本　護 / 内科、糖尿病内科、血液内科、化学療法内科、　緩和ケア内科、腎臓内科　消化器内科、消化器外科　循環器内科　呼内　小　脳内　外　整外　心外　産婦　皮　ひ　耳い　眼　放　麻　リハ　精　病理　リウ　呼外,髭　修平 / 現存,平6. 10. 1,一般　　    516,病院,,,,,,,,,,,,,,

19.0,01 / (01-1638 / 3594-1 / 0),市立札幌病院,〒060－8604,札幌市中央区北１１条西１３丁目１番１号 / 常　勤:　　 165,011-726-2211 / 令4. 10. 5,札幌市 / 8 / 精神　　     38 / 呼内　消化器内科　循環器内科　腎臓内科、糖尿病・内分泌内科、血液内科、新生児内科　感染症内科、緩和ケア内科　リウマチ・免疫内科　脳内　小　外科、乳腺外科、腎臓移植外科　整外　形外　脳外　呼外　心外　皮　ひ　産婦　眼　耳鼻咽喉科・甲状腺外科　リハ　放射線治療科、放射線診断科　麻　歯外　精　病理　救急科,西川　秀司 / 移動,平7. 10. 5 / 一般（感染）,一般　　    626 / 現存,病院,,,,,,,,,,,,,,

20.0,01,1640,7,医療法人社団　健心会　桑園病院,〒060－0012,札幌市中央区北１２条西１５丁目１番３０号,011-716-2497 / 組織変更 / 令5. 1. 1,医療法人社団　健心会 / 精　神　心内,富樫　芳 / 現存,平8. 1. 1,精神　　    156,病院,,,,,,,,,,,,,,

21.0,01,1651,4,医療法人　讃生会　宮の森記念病院,〒064－8570,札幌市中央区宮の森３条７丁目５番２５号,011-641-6641 / 組織変更 / 令6. 1. 1,医療法人　讃生会　理事長　河本　俊 / 療養　　     44 / 脳外　内科、腎臓内科　循環器内科　外　消化器内科　リハ,前田　至 / 現存,平9. 1. 1,一般　　     66,病院,,,,,,,,,,,,,,

22.0,01,1658,9,医療法人社団ＣＨＣＰヘルスケアシステム　桑園中央病院,〒060－0008,札幌市中央区北８条西１６丁目２８－３５,011-621-1023 / 移動 / 令6. 4. 21,医療法人社団ＣＨＣＰヘルスケアシステム　理事長　中谷　玲二 / 療養　　     30 / 内科、糖尿病内科　外科、血管外科　循環器内科　リハ　放　麻　皮　形外,向井　正也 / 現存,平9. 4. 21,一般　　     38,病院,,,,,,,,,,,,,,

23.0,01,1720,7,医療法人社団　土田病院,〒064－0921,札幌市中央区南２１条西９丁目２の１１,011-531-7013 / 組織変更 / 令6. 1. 1,医療法人社団　土田病院　理事長　土田　茂 / 療養　　     92 / 外　内　消化器外科、消化器内科　呼内　アレ　救急科　整外　肛門外科　循環器内科　リハ　放,佐々木　寿誉 / 療養病床 / 現存,平12. 1. 1,一般　　     42,病院,,,,,,,,,,,,,,

