id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27

1.0,01 / 盛歯48,3048.0,5.0,鈴木歯科クリニック,〒020－0021,盛岡市中央通三丁目７番１号　政経ビル２Ｆ,019-651-0151 / 新規 / 令5. 12. 21,鈴木　英夫,鈴木　英夫 / 現存,昭47. 12. 21,歯,診療所,,,,,,,,,,,,,,

2.0,01 / 盛歯101,3101.0,2.0,黒江歯科医院,〒020－0886,盛岡市若園町１０番２号,019-624-6624 / 新規 / 令5. 1. 14,黒江　俊,黒江　俊 / 現存,昭53. 1. 14,歯,診療所,,,,,,,,,,,,,,

3.0,01 / 盛歯104,3104.0,6.0,中野歯科クリニック,〒020－0816,盛岡市中野一丁目１７番１号,019-653-1821 / 新規 / 令5. 9. 1,佐々木　隆博,佐々木　隆博 / 現存,昭53. 8. 28,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

4.0,01 / 盛歯122,3122.0,8.0,大館歯科クリニック,〒020－0147,盛岡市大館町２６番５０号,019-646-6825 / 新規 / 令6. 11. 11,岡村　賢治,岡村　賢治 / 現存,昭54. 11. 11,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

5.0,01 / 盛歯125,3125.0,1.0,野手歯科医院,〒020－0122,盛岡市みたけ六丁目１番１１号,019-641-0086 / 新規 / 令3. 12. 15,野手　清,野手　清 / 現存,昭54. 12. 15,歯　小歯,診療所,,,,,,,,,,,,,,

6.0,01 / 盛歯128,3128.0,5.0,外川歯科医院,〒020－0004,盛岡市山岸一丁目２番４６号,019-653-6480 / 新規 / 令4. 7. 14,外川　正,外川　正 / 現存,昭55. 7. 14,歯,診療所,,,,,,,,,,,,,,

7.0,01 / 盛歯140,3140.0,0.0,千葉歯科,〒020－0033,盛岡市盛岡駅前北通２番２５号,019-653-3321 / 新規 / 令5. 9. 1,千葉　美知子,千葉　美知子 / 現存,昭56. 4. 10,歯　小歯　矯歯,診療所,,,,,,,,,,,,,,

8.0,01 / 盛歯142,3142.0,6.0,うしぶくろ歯科医院,〒020－0131,盛岡市中堤町１３番４３号,019-647-8668 / 新規 / 令5. 9. 1,牛袋　徳道,牛袋　徳道 / 現存,昭56. 6. 10,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

9.0,01 / 盛歯148,3148.0,3.0,橋浦歯科診療所,〒020－0103,盛岡市西松園一丁目３番８号,019-662-8151 / 新規 / 令6. 4. 1,橋浦　礼二郎,橋浦　礼二郎 / 現存,昭57. 4. 1,歯　小歯,診療所,,,,,,,,,,,,,,

10.0,01 / 盛歯160,3160.0,8.0,黒石野歯科医院,〒020－0111,盛岡市黒石野二丁目１３番４４号,019-662-5678 / 新規 / 令4. 7. 5,武田　秀雄,武田　秀雄 / 現存,昭58. 7. 5,歯,診療所,,,,,,,,,,,,,,

11.0,01 / 盛歯162,3162.0,4.0,柴田歯科医院,〒020－0878,盛岡市肴町５番５号,019-651-6710 / 移動 / 令4. 8. 2,柴田　理,柴田　理 / 現存,昭58. 8. 2,歯,診療所,,,,,,,,,,,,,,

12.0,01 / 盛歯163,3163.0,2.0,茶畑歯科医院,〒020－0822,盛岡市茶畑一丁目８番１８号,019-653-2545 / 新規 / 令4. 9. 22,大林　勢津子,大林　勢津子 / 現存,昭58. 9. 22,歯,診療所,,,,,,,,,,,,,,

13.0,01 / 盛歯166,3166.0,5.0,国労会館歯科,〒020－0033,盛岡市盛岡駅前北通４番４号国労会館２階,019-653-5228 / 新規 / 令5. 2. 1,千葉　啓二,千葉　啓二 / 現存,昭59. 2. 1,歯,診療所,,,,,,,,,,,,,,

