id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01-1028-3 / 盛医28,一般財団法人岩手済生医会　中津川病院,〒020－0003,盛岡市下米内二丁目４番１２号,019-662-3252,一般財団法人岩手済生医会　理事長　三田　ひろみ,高橋　進,昭32. 8. 1 / 新規 / 令5. 9. 1,一般　　 / 一般     51 / 内　呼内　リハ　循環器内科,病院 / 療養病床 / 現存,,,,,,,,,,,,,,

2.0,01-1030-9 / 盛医30,遠山病院,〒020－0877,盛岡市下ノ橋町６番１４号,019-651-2111,医療法人遠山病院　理事長　千葉　知,千葉　知,昭32. 8. 1 / 新規 / 令5. 9. 1,一般　　 / 一般     34 / 療養 / 療養     36 / 内　呼内　循環器内科　外　整外　胃腸外科　皮　婦　糖尿病内科,病院 / 療養病床 / 現存,,,,,,,,,,,,,,

3.0,01-1045-7 / 盛医45,一般財団法人岩手済生医会　三田記念病院,〒020－0807,盛岡市加賀野三丁目１４番１号,019-624-3251,一般財団法人岩手済生医会　理事長　三田　ひろみ,磯野　寿育,昭32. 10. 28 / 新規 / 令5. 10. 28,精神　　 / 精神    226 / 精　神,病院 / 現存,,,,,,,,,,,,,,

4.0,01-1124-0 / 盛医124,医療法人社団髙松病院,〒020－0115,盛岡市館向町４番８号,019-624-2250,医療法人社団髙松病院　理事長　髙松　正之,髙松　正之,昭43. 7. 15 / 新規 / 令4. 7. 15,一般　　 / 一般     40 / 療養 / 療養     55 / 外　内　整外　リハ　麻　脳内,病院 / 現存,,,,,,,,,,,,,,

5.0,01-1185-1 / 盛医185,赤坂病院,〒020－0016,盛岡市名須川町２９番２号,019-624-1225,社団医療法人　赤坂病院　理事長　赤坂　俊幸,赤坂　俊幸,昭48. 12. 1 / 新規 / 令3. 12. 1,一般　　 / 一般     20 / ひ　皮　内　消化器内科　歯,病院 / 現存,,,,,,,,,,,,,,

6.0,01-1233-9 / 盛医233,菅野小児科医院,〒020－0004,盛岡市山岸二丁目１１番３６号,019-622-4448,菅野　恒治,菅野　恒治,昭53. 1. 1 / 新規 / 令5. 1. 1,小,診療所 / 現存,,,,,,,,,,,,,,

7.0,01-1249-5 / 盛医249,江藤整形外科医院,〒020－0136,盛岡市北天昌寺町７番３５号,019-646-5811,江藤　修,江藤　修,昭54. 9. 10 / 新規 / 令6. 9. 10,整外,診療所 / 現存,,,,,,,,,,,,,,
