id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
1.0,0210017 / (0231209),石巻赤十字病院,〒986－8522,石巻市蛇田字西道下７１ / 常　勤:　　 178 / (医　　　 144) / (歯　　　　 3) / (薬　　　　31) / 非常勤:　　　 2 / (医　　　　 2),0225-21-7220,日本赤十字社　社長　清家　篤,石橋　悟 / 移転 / 令6. 5. 16,平18. 5. 16 / 一般（感染） / 4 / 内　呼内　神内　外　呼外　心外　小外　整外　脳外　形外　精　小　皮　ひ　産婦　眼　耳い　リハ　救命　麻　歯　歯外　病理　消化器外科　消化器内科　腫瘍内科　乳腺外科　緩和医療科　循環器内科　放射線診断科　放射線治療科　感染症内科　心内,一般　　    456 / 現存,病院,,,,,,,,,,,,,,
2.0,0210074,こだまホスピタル,〒986－0873,石巻市山下町　２－５－７ / 常　勤:　　　11 / (医　　　　11) / 非常勤:　　　14 / (医　　　　14),0225-22-5431,医療法人有恒会　理事長　樹神　弘郎,虎岩　武志 / 移転 / 令5. 9. 1,平8. 4. 1 / 精　内　心内,精神　　    330 / 現存,病院,,,,,,,,,,,,,,
3.0,0211239,渡辺耳鼻咽喉科医院,〒986－0851,石巻市貞山　１－４－５ / 常　勤:　　　 1 / (医　　　　 1),0225-93-1131,渡辺　充,渡辺　充 / 令4. 10. 1,昭61. 10. 1,耳い / 現存,診療所,,,,,,,,,,,,,,
4.0,0211304,医療法人社団佐藤整形外科医院,〒986－0822,石巻市中央　１－１３－１７ / 常　勤:　　　 1 / (医　　　　 1) / 非常勤:　　　 1 / (医　　　　 1),0225-95-1755,医療法人社団佐藤整形外科医院　理事長　佐藤　俊一郎,佐藤　俊一郎 / 組織変更 / 令4. 1. 1,昭64. 1. 1 / 整外　リハ　リウ,一般　　        / 現存,診療所,,,,,,,,,,,,,,
5.0,0211312,医療法人宏人会石巻クリニック,〒986－0877,石巻市錦町　６－４５ / 常　勤:　　　 1 / (医　　　　 1) / 非常勤:　　　10 / (医　　　　10),0225-22-8822,医療法人宏人会　理事長　関野　慎,金澤　雅之 / 新規 / 令4. 6. 1,平元. 6. 1,ひ / 現存,診療所,,,,,,,,,,,,,,
6.0,0211320,齋藤病院,〒986－0873,石巻市山下町　１－７－２４ / 常　勤:　　　10 / (医　　　　10) / 非常勤:　　　51 / (医　　　　50) / (薬　　　　 1),0225-96-3251,医療法人社団仁明会　齋藤　仁一,古関　義人 / 組織変更 / 令4. 7. 1,平元. 7. 1 / 療養　　     85 / 脳内　内　呼内　心外　リハ　循環器内科　消化器内科　糖尿病内科,一般　　     93 / 現存,病院,,,,,,,,,,,,,,
7.0,0211353,石巻診療所,〒986－0825,石巻市穀町　５－２４ / 常　勤:　　　 2 / (医　　　　 2) / 非常勤:　　　 1 / (医　　　　 1),0225-23-0125,医療法人社団石巻診療所　理事長　矢崎重彦,矢崎　重彦 / 組織変更 / 令4. 7. 1,平元. 7. 1,内　整外　リウ　リハ / 現存,診療所,,,,,,,,,,,,,,
8.0,0211411,小林耳鼻咽喉科医院,〒986－0861,石巻市蛇田字北経塚　７２－１ / 常　勤:　　　 1 / (医　　　　 1),0225-95-9537,医療法人社団小林耳鼻咽喉科医院　理事長　小林　義臣,小林　義臣 / 移転 / 令4. 11. 1,平7. 11. 1,耳い　気食　アレ / 現存,診療所,,,,,,,,,,,,,,
9.0,0211429,六郷耳鼻咽喉科,〒986－0826,石巻市鋳銭場　５－３５ / 常　勤:　　　 1 / (医　　　　 1),0225-22-5012,医療法人社団六郷耳鼻咽喉科　理事長　六郷正暁,六郷　正曉 / 組織変更 / 令5. 1. 1,平2. 1. 1,耳い　気食 / 現存,診療所,,,,,,,,,,,,,,
10.0,0211437,おおば小児クリニック,〒986－0853,石巻市門脇字青葉西　３８－１ / 常　勤:　　　 2 / (医　　　　 2),0225-93-9693,医療法人おおば小児クリニック　理事長　大場　泉,大場　泉 / 組織変更 / 令5. 1. 1,平2. 1. 1,小　アレ / 現存,診療所,,,,,,,,,,,,,,
