id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01-1001.0-7 / (01 / 山医1,医療法人篠田好生会篠田総合病院 / 3001.0,〒990－0045,山形市桜町２－６８,023-623-1711,医療法人篠田好生会　理事長　篠田　淳男 / 常　勤:　　　17,篠田　淳男 / 令5. 8. 1,昭38. 8. 1 / 内　精　神内　呼　消　循　小　外　整外　脳外　心外　皮　ひ　産婦　眼　耳い　リハ　放　麻　歯外　形外,一般　　    223 / 新規,病院 / 療養　　    160,現存,,,,,,,,,,

2.0,01-1003.0-3 / (01 / 山医101,山形市立病院済生館 / 3003.0,〒990－8533,山形市七日町１－３－２６,023-625-5555,山形市長　佐藤　孝弘 / 常　勤:　　　99,貞弘　光章 / 令5. 8. 1,昭38. 8. 1 / 消化器内科　呼内　循環器内科　内　精　脳神経内科　小　皮　放　外　整外　脳外　リハ　ひ　産婦　眼　耳鼻咽喉・頭頸部外科　麻　病理　救急科　歯　歯外　形外　糖尿病・内分泌内科　腎臓内科　血液内科　内視鏡外科　消化器外科　血管外科　乳腺外科　脳・血管放射線科,一般 / 新規,病院 / 一般    528,現存,,,,,,,,,,

3.0,01-1004.0-1 / (01 / 山医116,公立学校共済組合東北中央病院 / 3004.0,〒990－8510,山形市和合町３－２－５,023-623-5111,公立学校共済組合　理事長　丸山　洋司 / 常　勤:　　　26,田中　靖久 / 令4. 5. 12,昭40. 5. 12,一般　　    252 / 新規,病院 / 整外　呼内　循　消化器・肝臓内科　糖尿病内科　外　婦　眼　耳い　放　リハ　麻　歯　ひ　内,現存,,,,,,,,,,

4.0,01-1017.0-3 / 山医17,医療法人篠田好生会千歳篠田病院,,常　勤:　　　 4,,,新規 / 令5. 8. 1,精　心内　内,現存,,〒990－0811,山形市長町２－１０－５６,023-684-5331,医療法人篠田好生会　理事長　篠田　淳男,木村　正之,昭38. 8. 1,精神　　    300,病院,,,,,,,,,,,

5.0,01-1026.0-4 / 山医39,医療法人横山厚生会横山病院,〒990－0031,山形市十日町３－６－４８,023-622-3415,医療法人横山厚生会　理事長　横山　智之,横山　智之 / 新規 / 令5. 9. 21,昭38. 9. 21 / 産婦,一般　　     30 / 現存,病院,,,,,,,,,,,

